ID_music,music,artists,total_artists,released_year,released_month,released_day,released_date,day_week_released,spotify_playlists,spotify_charts,streams,apple_playlists,apple_charts,deezer_playlists,deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
251,Mercho,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,16/12/2022,Sexta-Feira,1267,20,231332117,41,22,56,4,93,F#,Minor,84,96,79,43,0,18,11
252,The Color Violet,Tory Lanez,1,2021,12,10,10/12/2021,Sexta-Feira,2585,32,415932686,3,79,21,1,105,F#,Minor,65,46,53,16,0,9,5
253,Glimpse Of Us,Joji,1,2022,6,10,10/6/2022,Sexta-Feira,6330,6,988515741,109,42,158,3,170,G#,Major,44,27,32,89,0,14,5
254,Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,4/5/2023,Quinta-Feira,675,1,50847624,9,13,11,0,178,C#,Minor,62,56,66,18,0,12,5
255,Curtains,Ed Sheeran,1,2023,5,5,5/5/2023,Sexta-Feira,715,0,39893489,37,3,27,0,176,F#,Minor,50,44,76,10,0,32,5
256,Unforgiven ,"Nile Rodgers, LE SSERAFIM",2,2023,5,1,1/5/2023,Segunda-Feira,327,13,92035115,14,110,9,0,104,E,Minor,80,38,88,11,0,11,5
257,Haegeum,Agust D,1,2023,4,21,21/4/2023,Sexta-Feira,244,12,118810253,6,84,10,2,85,G,Major,70,83,84,31,0,47,30
258,Conexões De Máfia,"Matuê, Rich The Kid",2,2023,4,30,30/4/2023,Domingo,385,4,77233241,17,7,41,1,117,F#,Minor,77,69,58,39,0,26,5
259,Mientras Me Curo Del Cora,Karol G,1,2023,2,24,24/2/2023,Sexta-Feira,1020,35,206399629,15,26,30,6,80,,Major,52,57,48,86,0,15,39
260,Never Felt So Alone,Labrinth,1,2023,4,7,7/4/2023,Sexta-Feira,1730,3,117747907,46,5,51,0,98,F,Major,44,36,41,50,0,38,5
261,X Si Volvemos,"Karol G, Romeo Santos",2,2023,2,2,2/2/2023,Quinta-Feira,2127,33,266624541,45,80,53,8,178,C#,Minor,79,58,78,34,0,11,25
262,Ceilings,Lizzy McAlpine,1,2022,4,8,8/4/2022,Sexta-Feira,3242,9,293186992,67,55,48,0,148,A,Major,51,27,33,48,0,22,3
263,Cupid,Fifty Fifty,1,2023,2,24,24/2/2023,Sexta-Feira,526,10,139681964,15,93,30,0,120,D,Major,77,94,66,65,0,38,3
264,I Am,IVE,1,2023,4,10,10/4/2023,Segunda-Feira,366,15,123132751,16,102,7,0,122,E,Minor,68,38,88,1,0,8,5
265,Cupid ,Fifty Fifty,1,1997,1,1,1/1/1997,Quarta-Feira,472,2,103762518,0,0,6,0,144,F,Major,74,75,73,42,0,9,4
266,Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,4/3/2023,Sábado,432,12,162887075,8,14,12,2,96,D,Major,93,47,47,33,0,10,36
267,Super,SEVENTEEN,1,2023,4,24,24/4/2023,Segunda-Feira,271,12,91221625,16,103,9,0,137,G#,Major,77,35,88,16,0,17,9
268,Slut Me Out,NLE Choppa,1,2022,4,22,22/4/2022,Sexta-Feira,816,4,190490915,21,4,13,0,121,F#,Minor,94,71,61,12,0,53,42
